R,l,n_grid,c,gamma
0,1,2,0.14631988523516504,0.03657997130879126
0,2,4,0.20078917219458425,0.11202376204253059
0,3,8,1.1170978319039584,0.2594002627470072
0,4,16,0.9235634509419413,0.24507933493624093
0,5,32,3.0681428057804965,0.3128348463119417
0,6,64,23.98588781896001,0.4245537113163928
0,7,128,18.228290657379148,0.37848316976726226
0,8,256,24.438610083925596,0.37277739700805
0,9,512,28.403570389113156,0.3625984058150911
0,10,1024,36.405462961643934,0.3581431627225828
1,1,2,0.0907661512004505,0.022691537800112627
1,2,4,0.25872213130404464,0.12716183864077615
1,3,8,0.37326059810098755,0.1800020251349104
1,4,16,0.03246172628877275,0.10611649857778527
1,5,32,0.11771769646770736,0.16297026048073376
1,6,64,2.457847676625306,0.2904240000464878
1,7,128,11.544755589293345,0.35457593572914925
1,8,256,16.514285613993707,0.3549543334390615
1,9,512,19.993980528146494,0.3487260346149527
1,10,1024,28.225486859329976,0.3491436540752941
2,1,2,0.05119162801621835,0.012797907004054587
2,2,4,0.11452379793945511,0.08460341229061594
2,3,8,0.2218780462305432,0.15134849951479112
2,4,16,5.12851661296699,0.37621659662504886
2,5,32,1.5926220821324932,0.2743863833069168
2,6,64,7.254125325107907,0.3478330549206816
2,7,128,22.348595335170103,0.3896637823621303
2,8,256,33.247518971074896,0.38740026546697587
2,9,512,37.45062512726872,0.37391147579249157
2,10,1024,41.90948190097697,0.3632212409577094
3,1,2,0.11327151189830342,0.028317877974575856
3,2,4,0.237231700175756,0.12176609241075592
3,3,8,2.249729930320889,0.32757956666300336
3,4,16,4.3791098529737695,0.36164833389020073
3,5,32,9.2254034038599,0.38988549815400486
3,6,64,13.004272544665582,0.38337255492603917
3,7,128,16.24475325439471,0.3723051345242827
3,8,256,22.348050700489694,0.36863364003031013
3,9,512,26.540248189296108,0.359874996031291
3,10,1024,37.44100376049755,0.3591490789432899
4,1,2,0.017281186218556677,0.004320296554639169
4,2,4,0.27418764257407524,0.13090732470293517
4,3,8,0.5478972647176796,0.2045689515972837
4,4,16,0.13359540977049278,0.15114294939754275
4,5,32,1.848333134805216,0.2826806351783157
4,6,64,16.91300174733533,0.4005377534718918
4,7,128,16.095194137360522,0.37181352445341725
4,8,256,22.579470972559648,0.3691086551287574
4,9,512,27.289883357210783,0.3609904816096115
4,10,1024,39.480184124433435,0.3610587926834958
5,1,2,0.10786458404819932,0.02696614601204983
5,2,4,0.6436363696914835,0.2005673779698925
5,3,8,0.09217112676711636,0.11292886785260856
5,4,16,1.8089700120848846,0.2899331343431326
5,5,32,2.7825298190027183,0.306780657641572
5,6,64,5.7763094291010475,0.33487424718291064
5,7,128,17.976512898036162,0.3777318837505851
5,8,256,24.583125127050153,0.3730522340476526
5,9,512,27.24011378774594,0.3609172720617009
5,10,1024,29.866049036500044,0.3511217933970356
6,1,2,0.05692263822669075,0.014230659556672687
6,2,4,0.5313698172738572,0.18223779404836987
6,3,8,0.03650628708837189,0.08293335414312385
6,4,16,0.27886617642704437,0.18167240655443287
6,5,32,5.56178734651337,0.35235698450947844
6,6,64,7.784586090704579,0.3519486170258445
6,7,128,15.900119412734057,0.37116638342754904
6,8,256,21.439874209987465,0.3667269172901275
6,9,512,23.804825308412546,0.3555517219712609
6,10,1024,25.426800673245452,0.34551680929179485
7,1,2,0.029598034600943235,0.007399508650235809
7,2,4,0.17050375719781563,0.10323025150053387
7,3,8,0.489022293410752,0.19696220370118542
7,4,16,2.293030655587174,0.30763976709238317
7,5,32,9.735441324866372,0.39410426733288045
7,6,64,5.256499634415377,0.3296523037287427
7,7,128,14.699311199399745,0.3670259071380255
7,8,256,19.36448401266898,0.3620893488032145
7,9,512,21.374694703699788,0.3513230678634925
7,10,1024,23.944328558805864,0.3434474332170574
8,1,2,0.025846099174303472,0.006461524793575868
8,2,4,0.06591668433292774,0.06418561186752046
8,3,8,0.6086080317092879,0.2118617564326203
8,4,16,1.828418496516747,0.290709289819039
8,5,32,3.12476768415263,0.31398113539167083
8,6,64,5.008726217907679,0.3270101435140731
8,7,128,21.67074740305179,0.38795301897373646
8,8,256,29.596517729369225,0.3818080542846255
8,9,512,34.84896108219982,0.37093211415679167
8,10,1024,46.3164180527674,0.36687110280319735
9,1,2,0.2047819195601388,0.0511954798900347
9,2,4,0.47425529812423406,0.17216549053966834
9,3,8,0.42184083137473394,0.18749493784477442
9,4,16,3.3060429993906553,0.3371065051045076
9,5,32,12.350094933914761,0.41330824390651527
9,6,64,38.55794150842962,0.4595071943405191
9,7,128,20.812953676964753,0.38572110025883916
9,8,256,28.86658520200581,0.38061809837878713
9,9,512,33.74378706229618,0.36960626338427033
9,10,1024,43.661770557635464,0.3647120755660171
10,1,2,0.017121673869390897,0.004280418467347724
10,2,4,0.16295351368732547,0.10091875249653971
10,3,8,0.15684320131229157,0.13482235473590334
10,4,16,0.23335324371896604,0.17375746392369687
10,5,32,7.017353091009113,0.3691260323232556
10,6,64,4.600059222521395,0.32240411714156175
10,7,128,15.29709299062597,0.36912193386645253
10,8,256,22.33533920872287,0.368607423817806
10,9,512,24.938334966544062,0.35739420272871075
10,10,1024,27.03897696675267,0.3476474388566373
11,1,2,0.1736528721713413,0.04341321804283532
11,2,4,0.3405886683376078,0.14589993752946054
11,3,8,0.5317425884989042,0.2025382984640553
11,4,16,0.09695582418132176,0.13950297979987822
11,5,32,3.8384490016118775,0.3271682595303177
11,6,64,3.383331837081414,0.3063120683923364
11,7,128,15.714611330994558,0.37054463467810955
11,8,256,22.415228033976746,0.3687719704336491
11,9,512,25.837243298301473,0.3588031526227875
11,10,1024,31.86800333269639,0.3534072820892157
12,1,2,0.048844832015818795,0.012211208003954699
12,2,4,0.2920898567135026,0.13511334517579643
12,3,8,0.1045109328688234,0.11775894787208004
12,4,16,0.8453619874261733,0.23971802311036355
12,5,32,2.168211685833228,0.29185043491169416
12,6,64,3.7558923119104293,0.31169191027010945
12,7,128,18.283451358297498,0.3786465764504182
12,8,256,27.05905353504204,0.3775540070774631
12,9,512,32.55740156437969,0.36813931643562503
12,10,1024,45.329377685440704,0.36608167033279393
13,1,2,0.04020169341576696,0.01005042335394174
13,2,4,0.1662754986563897,0.10194223200432859
13,3,8,1.1034298332199413,0.2583379739510294
13,4,16,0.09968747432981218,0.14047536101932961
13,5,32,1.1775954224998486,0.2583088169959333
13,6,64,3.8235739586612,0.31262107910711395
13,7,128,14.017420002148356,0.3645438158923692
13,8,256,19.85447928497888,0.36322214713260087
13,9,512,23.50329337833682,0.35504846911438004
13,10,1024,31.827769231633283,0.3533626382219675
14,1,2,0.039477870375163926,0.009869467593790981
14,2,4,0.49510562996063534,0.1759093569783589
14,3,8,0.6503550667950435,0.21659920156026632
14,4,16,1.2010233393923357,0.2617145515469218
14,5,32,3.8203838860154065,0.32685972395228896
14,6,64,5.511761267754082,0.33226791667787225
14,7,128,17.531327684217104,0.37638112696821197
14,8,256,25.096735100822116,0.3740177058406394
14,9,512,27.681472842989024,0.36156239326868206
14,10,1024,28.55032271600794,0.3495434036559032
15,1,2,0.0793803748438,0.01984509371095
15,2,4,0.2987359879021527,0.13664186490195654
15,3,8,0.824980243029465,0.23447031020491585
15,4,16,1.0704676378449847,0.2542924079518155
15,5,32,0.05174355091548932,0.13826468051571686
15,6,64,8.204070990474065,0.3550407837749976
15,7,128,18.290335198871617,0.37866693929987205
15,8,256,24.896779042072012,0.37364390671732484
15,9,512,29.493230330961524,0.3641182872131302
15,10,1024,40.3645367390709,0.3618595226236251
16,1,2,0.18134527973508408,0.04533631993377102
16,2,4,0.2131025477965114,0.11540757876882246
16,3,8,0.4771283595475708,0.19535225059951547
16,4,16,2.268772219405946,0.306822873263331
16,5,32,2.0110154486536658,0.2874902298212512
16,6,64,15.11568078789287,0.3931074676849936
16,7,128,14.726612371567171,0.3671232126754465
16,8,256,20.649032366527535,0.3650080745181773
16,9,512,23.20189914421644,0.35453967793900104
16,10,1024,25.11492272443138,0.34509065060535754
17,1,2,0.24403672176230407,0.061009180440576016
17,2,4,0.5067360259607234,0.1779634839582132
17,3,8,0.7216744075866757,0.22424379956925128
17,4,16,3.484057827162701,0.34155555053254694
17,5,32,9.870058389336009,0.3951881860053499
17,6,64,7.784894868319725,0.3519509436761704
17,7,128,20.052731053478055,0.38367614561293034
17,8,256,29.614078190901637,0.3818363641433021
17,9,512,34.300945948270964,0.37027942020070553
17,10,1024,42.41076786577469,0.36365337474988635
18,1,2,0.06988790720968563,0.017471976802421407
18,2,4,0.3246630108497399,0.1424480192144094
18,3,8,0.02594420981974821,0.07400938999625928
18,4,16,1.99202161985599,0.2970048358440859
18,5,32,6.621929057240322,0.3648689554808415
18,6,64,6.022387087624338,0.3372107825535352
18,7,128,18.328427038270092,0.3787794988439282
18,8,256,26.226738426761585,0.37608242996274255
18,9,512,30.05651045241393,0.3648844905099022
18,10,1024,36.40555564092938,0.3581432538968508
19,1,2,0.039119118109451456,0.009779779527362864
19,2,4,0.1157876582477817,0.08506896402617324
19,3,8,0.25766531729689746,0.1590835706760643
19,4,16,0.49945762417956985,0.21016707037262336
19,5,32,4.462999897529357,0.3371827777043311
19,6,64,4.1735576021576435,0.3172179425398071
19,7,128,12.116089783036841,0.3570311244128248
19,8,256,18.74675778645178,0.3606249578162322
19,9,512,21.66251225079759,0.3518455802295404
